"ensembl_gene_id"	"hgnc_col"	"Sample_K6_I"	"Sample_K6_II"	"Sample_K6_III"	"Sample_K1_I"	"Sample_K1_II"	"Sample_K1_III"
"1"	"ENSG00000000419"	"DPM1"	32.4956063338531	33.4490700231387	35.2967142354194	31.1083621359262	33.3134461938719	34.7491632596611
"2"	"ENSG00000000457"	"SCYL3"	75.2965322689513	87.0888999307108	69.1055107747321	73.4724564406918	69.2309083975074	80.7016086631473
"3"	"ENSG00000000460"	"C1orf112"	46.8628767268298	57.4526772677226	41.0830608313898	48.9225524188925	43.1907482998717	51.2692572683524
"4"	"ENSG00000000938"	"FGR"	1.73009015203385	1.21317870550244	1.65324188456297	14.712216850609	15.5343024030723	16.4251509396759
"5"	"ENSG00000001036"	"FUCA2"	21.3628523120701	25.9966865464808	20.7481856512653	23.8408815229748	21.3708900111631	23.2610519087895
"6"	"ENSG00000001084"	"GCLC"	66.1195323320761	79.2032383449449	60.9219634461454	75.7767795618715	78.7490358814708	80.7016086631473
"7"	"ENSG00000001167"	"NFYA"	269.818842406322	290.382988724191	281.877741317986	226.444060562084	222.418884696013	243.434028955659
"8"	"ENSG00000001460"	"STPG1"	12.7876228628589	10.0520521313059	10.9113964381156	13.5600552900191	13.3792546708542	13.4819158001964
"9"	"ENSG00000001461"	"NIPAL3"	18.2035572518344	18.7176143134662	19.0949437667023	23.0432312117972	17.7791437907996	19.5582722171863
"10"	"ENSG00000001497"	"LAS1L"	101.097441927543	89.5152573417157	84.645984489624	95.8066651536644	91.8589095857977	102.063799191627
"11"	"ENSG00000001561"	"ENPP4"	31.3672866694832	36.22204992143	33.2301618797157	26.6769715182729	31.0686048061447	32.5654726723053
"12"	"ENSG00000001617"	"SEMA3F"	11.734524509447	11.0052639713436	13.4739213591882	13.471427477666	14.0078102594178	10.6336237297324
"13"	"ENSG00000001629"	"ANKIB1"	58.5221799253188	59.3591009477979	56.6235345462817	56.36728865655	59.5331936025258	63.1371408952858
"14"	"ENSG00000001630"	"CYP51A1"	50.3230570308975	51.5600949838537	55.2182789444032	63.4575136447953	55.8516537266532	62.757368619224
